"EMAIL","PRENOM","NOM","SMS","ENTREPRISE","SECTEUR","VILLE","ADRESSE","TELEPHONE","SITE_WEB","NOTE_GOOGLE","NB_AVIS","AVIS_SANS_REPONSE","EMAIL_OBJET","EMAIL_CORPS","RELANCE_1_OBJET","RELANCE_1_CORPS","RELANCE_2_OBJET","RELANCE_2_CORPS"
"valérie.durand@plomberievalérie.fr","Valérie","Durand","+33640954682","Plomberie Valérie","Artisanat","Toulouse","62 rue de la Paix 20342 Toulouse","+33257981060","https://www.plomberievalérie.fr","4.3","2349","1738","Valérie, 87 avis attendent votre réponse","Valérie,\n\nVotre établissement Plomberie Valérie a 2349 avis Google et 1738 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Valérie 👋","Valérie, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Valérie. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"françois.richard@carrosseriefrançois.fr","François","Richard","+33694861138","Carrosserie François","Automobile","Lille","199 rue de la Paix 43598 Lille","+33141277930","https://www.carrosseriefrançois.fr","3.9","3751","2438","François, 89 avis attendent votre réponse","François,\n\nVotre établissement Carrosserie François a 3751 avis Google et 2438 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, François 👋","François, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain François. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"aurélie.martin@hôtelaurélie.fr","Aurélie","Martin","+33628700798","Hôtel Aurélie","Hôtellerie","Grenoble","155 rue de la Paix 86711 Grenoble","+33220955546","https://www.hôtelaurélie.fr","4.1","2099","1826","Aurélie, 73 avis attendent votre réponse","Aurélie,\n\nVotre établissement Hôtel Aurélie a 2099 avis Google et 1826 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Aurélie 👋","Aurélie, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Aurélie. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"françois.robert@salonfrançois.fr","François","Robert","+33653440721","Salon François","Beauté","Nantes","126 rue de la Paix 39104 Nantes","+33567676004","https://www.salonfrançois.fr","4.5","1140","832","François, 86 avis attendent votre réponse","François,\n\nVotre établissement Salon François a 1140 avis Google et 832 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, François 👋","François, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain François. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"arnaud.durand@garagearnaud.fr","Arnaud","Durand","+33697349741","Garage Arnaud","Automobile","Lyon","117 rue de la Paix 58501 Lyon","+33268647316","https://www.garagearnaud.fr","4.2","4794","4074","Arnaud, 85 avis attendent votre réponse","Arnaud,\n\nVotre établissement Garage Arnaud a 4794 avis Google et 4074 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Arnaud 👋","Arnaud, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Arnaud. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"nicolas.simon@centremédicalnicolas.fr","Nicolas","Simon","+33680232387","Centre Médical Nicolas","Santé","Bordeaux","122 rue de la Paix 51929 Bordeaux","+33340494389","https://www.centremédicalnicolas.fr","4.4","92","70","Nicolas, 66 avis attendent votre réponse","Nicolas,\n\nVotre établissement Centre Médical Nicolas a 92 avis Google et 70 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Nicolas 👋","Nicolas, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Nicolas. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"nathalie.dubois@épicerienathalie.fr","Nathalie","Dubois","+33618765052","Épicerie Nathalie","Commerce","Bordeaux","195 rue de la Paix 73029 Bordeaux","+33382932214","https://www.épicerienathalie.fr","3.6","1380","800","Nathalie, 92 avis attendent votre réponse","Nathalie,\n\nVotre établissement Épicerie Nathalie a 1380 avis Google et 800 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Nathalie 👋","Nathalie, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Nathalie. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"françois.thomas@boulangeriefrançois.fr","François","Thomas","+33642195591","Boulangerie François","Commerce","Nice","136 rue de la Paix 36774 Nice","+33436051656","https://www.boulangeriefrançois.fr","4.3","3508","2806","François, 77 avis attendent votre réponse","François,\n\nVotre établissement Boulangerie François a 3508 avis Google et 2806 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, François 👋","François, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain François. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"céline.durand@centreautocéline.fr","Céline","Durand","+33697638072","Centre Auto Céline","Automobile","Bruxelles","21 rue de la Paix 51586 Bruxelles","+33563383016","","4.0","2302","2002","Céline, 84 avis attendent votre réponse","Céline,\n\nVotre établissement Centre Auto Céline a 2302 avis Google et 2002 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Céline 👋","Céline, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Céline. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"patrick.vincent@dentistepatrick.fr","Patrick","Vincent","+33646780886","Dentiste Patrick","Santé","Lyon","59 rue de la Paix 51132 Lyon","+33290154660","https://www.dentistepatrick.fr","3.8","1721","1428","Patrick, 68 avis attendent votre réponse","Patrick,\n\nVotre établissement Dentiste Patrick a 1721 avis Google et 1428 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Patrick 👋","Patrick, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Patrick. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"sophie.richard@centremédicalsophie.fr","Sophie","Richard","+33676334841","Centre Médical Sophie","Santé","Bruxelles","26 rue de la Paix 64587 Bruxelles","+33143169967","https://www.centremédicalsophie.fr","4.3","3864","2241","Sophie, 86 avis attendent votre réponse","Sophie,\n\nVotre établissement Centre Médical Sophie a 3864 avis Google et 2241 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Sophie 👋","Sophie, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Sophie. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"isabelle.thomas@épicerieisabelle.fr","Isabelle","Thomas","+33651329126","Épicerie Isabelle","Commerce","Strasbourg","195 rue de la Paix 49817 Strasbourg","+33360714731","https://www.épicerieisabelle.fr","4.0","4192","3269","Isabelle, 93 avis attendent votre réponse","Isabelle,\n\nVotre établissement Épicerie Isabelle a 4192 avis Google et 3269 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Isabelle 👋","Isabelle, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Isabelle. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"valérie.roux@conciergerievalérie.fr","Valérie","Roux","+33657019224","Conciergerie Valérie","Services","Strasbourg","96 rue de la Paix 44226 Strasbourg","+33411927936","","4.1","2832","1925","Valérie, 95 avis attendent votre réponse","Valérie,\n\nVotre établissement Conciergerie Valérie a 2832 avis Google et 1925 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Valérie 👋","Valérie, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Valérie. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"claire.thomas@institutclaire.fr","Claire","Thomas","+33652212015","Institut Claire","Beauté","Grenoble","16 rue de la Paix 31468 Grenoble","+33379594205","","4.0","724","644","Claire, 89 avis attendent votre réponse","Claire,\n\nVotre établissement Institut Claire a 724 avis Google et 644 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Claire 👋","Claire, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Claire. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"claire.michel@carrosserieclaire.fr","Claire","Michel","+33627597456","Carrosserie Claire","Automobile","Bordeaux","55 rue de la Paix 52525 Bordeaux","+33596212940","https://www.carrosserieclaire.fr","4.3","3301","2145","Claire, 73 avis attendent votre réponse","Claire,\n\nVotre établissement Carrosserie Claire a 3301 avis Google et 2145 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Claire 👋","Claire, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Claire. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"nathalie.garcia@drnathaliegarcia.fr","Nathalie","Garcia","+33696292185","Dr. Nathalie Garcia","Santé","Paris","28 rue de la Paix 29102 Paris","+33293726328","https://www.drnathaliegarcia.fr","4.5","3583","2149","Nathalie, 73 avis attendent votre réponse","Nathalie,\n\nVotre établissement Dr. Nathalie Garcia a 3583 avis Google et 2149 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Nathalie 👋","Nathalie, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Nathalie. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"céline.moreau@électricitécéline.fr","Céline","Moreau","+33625252618","Électricité Céline","Artisanat","Bruxelles","149 rue de la Paix 13041 Bruxelles","+33161073581","https://www.électricitécéline.fr","4.4","3404","2791","Céline, 59 avis attendent votre réponse","Céline,\n\nVotre établissement Électricité Céline a 3404 avis Google et 2791 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Céline 👋","Céline, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Céline. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"céline.martin@autoservicecéline.fr","Céline","Martin","+33621014627","Auto Service Céline","Automobile","Paris","5 rue de la Paix 61632 Paris","+33553001384","","3.8","1276","1046","Céline, 62 avis attendent votre réponse","Céline,\n\nVotre établissement Auto Service Céline a 1276 avis Google et 1046 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Céline 👋","Céline, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Céline. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"david.richard@pizzeriadavid.fr","David","Richard","+33612713403","Pizzeria David","Restauration","Marseille","88 rue de la Paix 44236 Marseille","+33273338351","https://www.pizzeriadavid.fr","4.2","1799","1403","David, 65 avis attendent votre réponse","David,\n\nVotre établissement Pizzeria David a 1799 avis Google et 1403 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, David 👋","David, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain David. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"françois.durand@menuiseriefrançois.fr","François","Durand","+33634890922","Menuiserie François","Artisanat","Genève","36 rue de la Paix 77947 Genève","+33484270589","","4.1","1535","1458","François, 94 avis attendent votre réponse","François,\n\nVotre établissement Menuiserie François a 1535 avis Google et 1458 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, François 👋","François, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain François. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"marie.vincent@centreautomarie.fr","Marie","Vincent","+33679104563","Centre Auto Marie","Automobile","Rennes","28 rue de la Paix 15240 Rennes","+33261215786","","3.5","206","160","Marie, 76 avis attendent votre réponse","Marie,\n\nVotre établissement Centre Auto Marie a 206 avis Google et 160 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Marie 👋","Marie, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Marie. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"nicolas.leroy@dentistenicolas.fr","Nicolas","Leroy","+33637213096","Dentiste Nicolas","Santé","Lille","114 rue de la Paix 14943 Lille","+33597102292","https://www.dentistenicolas.fr","4.4","3108","2952","Nicolas, 60 avis attendent votre réponse","Nicolas,\n\nVotre établissement Dentiste Nicolas a 3108 avis Google et 2952 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Nicolas 👋","Nicolas, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Nicolas. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"sylvie.durand@hôtelsylvie.fr","Sylvie","Durand","+33680275153","Hôtel Sylvie","Hôtellerie","Lyon","194 rue de la Paix 10107 Lyon","+33299040770","https://www.hôtelsylvie.fr","3.8","989","830","Sylvie, 61 avis attendent votre réponse","Sylvie,\n\nVotre établissement Hôtel Sylvie a 989 avis Google et 830 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Sylvie 👋","Sylvie, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Sylvie. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"jean.fournier@espacebeautéjean.fr","Jean","Fournier","+33664933906","Espace Beauté Jean","Beauté","Toulouse","14 rue de la Paix 83489 Toulouse","+33314210808","https://www.espacebeautéjean.fr","4.1","2353","1458","Jean, 77 avis attendent votre réponse","Jean,\n\nVotre établissement Espace Beauté Jean a 2353 avis Google et 1458 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Jean 👋","Jean, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Jean. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"isabelle.thomas@conciergerieisabelle.fr","Isabelle","Thomas","+33688481027","Conciergerie Isabelle","Services","Nantes","199 rue de la Paix 82614 Nantes","+33551565074","https://www.conciergerieisabelle.fr","4.4","4242","2333","Isabelle, 82 avis attendent votre réponse","Isabelle,\n\nVotre établissement Conciergerie Isabelle a 4242 avis Google et 2333 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Isabelle 👋","Isabelle, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Isabelle. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"claire.bernard@pressingclaire.fr","Claire","Bernard","+33616922536","Pressing Claire","Services","Paris","56 rue de la Paix 89551 Paris","+33592278493","","3.6","4031","2902","Claire, 74 avis attendent votre réponse","Claire,\n\nVotre établissement Pressing Claire a 4031 avis Google et 2902 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Claire 👋","Claire, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Claire. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"aurélie.roux@nettoyageaurélie.fr","Aurélie","Roux","+33663645045","Nettoyage Aurélie","Services","Nice","186 rue de la Paix 33216 Nice","+33423420239","https://www.nettoyageaurélie.fr","4.5","4944","4400","Aurélie, 59 avis attendent votre réponse","Aurélie,\n\nVotre établissement Nettoyage Aurélie a 4944 avis Google et 4400 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Aurélie 👋","Aurélie, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Aurélie. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"aurélie.thomas@laverieaurélie.fr","Aurélie","Thomas","+33632372794","Laverie Aurélie","Services","Paris","97 rue de la Paix 84365 Paris","+33439697871","","3.8","994","576","Aurélie, 93 avis attendent votre réponse","Aurélie,\n\nVotre établissement Laverie Aurélie a 994 avis Google et 576 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Aurélie 👋","Aurélie, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Aurélie. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"stéphane.durand@laveriestéphane.fr","Stéphane","Durand","+33678296301","Laverie Stéphane","Services","Nice","153 rue de la Paix 57087 Nice","+33281756624","","3.6","276","165","Stéphane, 56 avis attendent votre réponse","Stéphane,\n\nVotre établissement Laverie Stéphane a 276 avis Google et 165 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Stéphane 👋","Stéphane, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Stéphane. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"marie.robert@plomberiemarie.fr","Marie","Robert","+33665245341","Plomberie Marie","Artisanat","Nantes","82 rue de la Paix 18318 Nantes","+33342880257","","3.6","2037","1201","Marie, 77 avis attendent votre réponse","Marie,\n\nVotre établissement Plomberie Marie a 2037 avis Google et 1201 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Marie 👋","Marie, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Marie. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"sylvie.simon@menuiseriesylvie.fr","Sylvie","Simon","+33698594206","Menuiserie Sylvie","Artisanat","Strasbourg","49 rue de la Paix 75593 Strasbourg","+33398870500","","3.5","3367","2457","Sylvie, 57 avis attendent votre réponse","Sylvie,\n\nVotre établissement Menuiserie Sylvie a 3367 avis Google et 2457 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Sylvie 👋","Sylvie, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Sylvie. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"nathalie.leroy@boutiquenathalie.fr","Nathalie","Leroy","+33693327562","Boutique Nathalie","Commerce","Bruxelles","135 rue de la Paix 26815 Bruxelles","+33388061663","","4.2","4212","3832","Nathalie, 89 avis attendent votre réponse","Nathalie,\n\nVotre établissement Boutique Nathalie a 4212 avis Google et 3832 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Nathalie 👋","Nathalie, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Nathalie. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"thomas.simon@menuiseriethomas.fr","Thomas","Simon","+33611595889","Menuiserie Thomas","Artisanat","Nantes","113 rue de la Paix 10946 Nantes","+33547531605","","3.7","4446","2800","Thomas, 86 avis attendent votre réponse","Thomas,\n\nVotre établissement Menuiserie Thomas a 4446 avis Google et 2800 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Thomas 👋","Thomas, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Thomas. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"pierre.lefebvre@drpierrelefebvre.fr","Pierre","Lefebvre","+33679867396","Dr. Pierre Lefebvre","Santé","Nantes","131 rue de la Paix 86269 Nantes","+33137490185","https://www.drpierrelefebvre.fr","4.2","2834","2522","Pierre, 95 avis attendent votre réponse","Pierre,\n\nVotre établissement Dr. Pierre Lefebvre a 2834 avis Google et 2522 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Pierre 👋","Pierre, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Pierre. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"jean.moreau@centremédicaljean.fr","Jean","Moreau","+33666810389","Centre Médical Jean","Santé","Bruxelles","176 rue de la Paix 37357 Bruxelles","+33234377309","https://www.centremédicaljean.fr","3.7","3957","2176","Jean, 67 avis attendent votre réponse","Jean,\n\nVotre établissement Centre Médical Jean a 3957 avis Google et 2176 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Jean 👋","Jean, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Jean. Offre toujours disponible : https://replyshield.io/essai-gratuit"
